content,军事能力,传奇色彩,政治能力,家庭背景,私德品行,|
孝武皇帝病无法治愈，孝武皇帝召巫师。巫师生病，孝武皇帝问神君，孝武皇帝病好,0,1,0,0,0,0
孝武皇帝来到海边考察前往海上求仙的人和方士，孝武皇帝派遣更多的人，希望能遇到神仙,0,1,0,0,0,0
孝武皇帝到雍县郊进行巡视,0,0,1,0,0,0
发生蝗灾,0,0,0,0,0,1
孝武皇帝前往雍县郊祀五帝，孝武皇帝祭祀泰一神,0,1,0,0,0,0
孝武皇帝命令天下的百姓祭祀灵星,0,1,0,0,0,0
孝武皇帝建造通天台招仙人,0,1,0,0,0,0
孝武皇帝厌倦方士的奇异迂阔的谈论，笼络方士，孝武皇帝期望遇到真正的仙人,0,1,0,0,0,0
五岳在孝武皇帝直接管辖的郡内,0,0,1,0,0,0
孝武皇帝听说有人看见了大脚印，孝武皇帝深信是仙人。孝武皇帝逗留在海滨，孝武皇帝拨方士们驿车，遣数以千计的使者访求仙人,0,1,0,0,0,0
孝武皇帝到达碣石，孝武皇帝经过北方边境，孝武皇帝到九原,1,0,1,0,0,0
孝武皇帝命令祠官将熟牛犊进献五畤,0,1,0,0,0,0
孝武皇帝命太祝领祀依照这种方法,0,1,0,0,0,0
孝武皇帝到达奉高县举行封禅大典,0,0,0,0,0,1
孝武皇帝说，古时候的帝王先用兵犒赏军队然后举行封禅,1,0,1,0,0,0
孝武皇帝接受郡国的会计簿册，孝武皇帝回到京城,0,0,1,0,0,0
秦始皇摧毁城郭，挖堤防,0,0,1,0,0,0
设置东郡,0,0,1,0,0,0
全国赐予一级,0,0,1,0,0,0
秦始皇途经丹阳，秦始皇到达钱唐,0,0,0,0,0,1
发生饥荒,0,0,0,0,0,1
秦国兼并天下，秦始皇下令丞相御史,0,0,1,0,0,0
进攻燕国，军队驻扎,1,0,0,0,0,0
李斯建议秦始皇，秦始皇派李斯攻打韩国,1,0,0,0,0,0
刻碑说：秦始皇即位，秦始皇创立制度，秦始皇申明法令，臣下修治严整，秦始皇兼并天下，没有不顺从的，秦始皇巡视百姓，秦始皇览疆域，治国的方法得到贯彻执行，流传后世。皇帝本身治理国家谋求长远的利益，重视对臣民的教导，教诲传播四方，远近接受意志，遵守职责，颂扬德业,1,0,1,0,1,0
王翦羌瘣攻占赵国的东阳地区，王翦羌瘣抓获赵王,1,0,0,0,0,0
秦始皇前往琅邪，秦始皇回到咸阳,0,0,0,0,0,1
秦国出兵，五国的军队撤,1,0,0,0,0,0
秦始皇望祭虞舜，秦始皇浮江，秦始皇观览籍柯，秦始皇渡过江渚,0,0,1,0,0,0
秦国占领全部魏国领土,1,0,0,0,0,0
秦始皇登琅邪，三万户百姓免除徭役，秦始皇修建琅邪台，秦始皇颂扬德业,0,0,1,0,0,0
李斯说：皇帝兼并天下，皇帝分辨是非，皇帝确立至高无上的地位。我希望史官把不是秦国的典籍全部烧掉，以古非今的杀死全族，官吏知情同罪。所不烧毁的是医药卜筮农林方面的书籍。秦始皇下达命令，秦始皇说可以照此办理,0,0,1,0,0,0
秦始皇祭祀大禹，秦始皇望祭南海，秦始皇树立石碑,0,0,0,0,0,1
秦始皇赐嫪毐山阳地区，由嫪毐决断事无大小。河西太原郡为嫪毐的封国,0,0,1,0,0,0
秦始皇下令，有活捉嫪毐的赏钱一百万，杀死嫪毐的赏钱五十万。抓获嫪毐等人。夷灭宗族，罪轻的罚为鬼薪徒役,0,0,1,0,0,0
秦始皇回到咸阳,0,0,0,0,0,1
百姓缴纳一千石粟米，百姓拜爵一级,0,0,1,0,0,0
大梁人尉缭来到秦国，大梁人尉缭劝告秦始皇，秦始皇听从大梁人尉缭的建议,0,0,1,0,0,0
秦始皇的母亲去世,0,0,0,0,0,1
秦始皇兼并全国，秦始皇确定皇帝这一称号，秦始皇抚循东部地区，秦始皇到达琅邪,1,0,1,0,0,0
秦始皇贬斥听讼断狱不公平的官吏戍守南越地区,0,0,1,0,0,0
韩国魏国赵国卫国楚国进攻秦国，夺取寿陵,1,0,0,0,0,0
皇帝视察远方，到海边，登之罘,0,0,0,0,0,1
秦始皇不任用博士，一切依赖秦始皇,0,0,1,0,0,0
秦始皇交他们讨论,0,0,1,0,0,0
庄襄王为太上皇,0,0,0,0,1,0
我以为这是件好事大概可以偃兵息革了,1,0,0,0,0,0
腊祭改名嘉平,0,0,1,0,0,0
秦始皇到达郢陈,0,0,0,0,0,1
赏赐米,0,0,0,0,1,0
天下欢聚,1,0,1,0,0,0
碑文说：皇帝建立丰功伟绩，皇帝统一天下。秦国伟大的皇帝确定刑法制度，秦国伟大的皇帝陈述过去的规章，统一法则，处理政务，审定职掌，建立制度，皇帝讨伐六国的诸侯王，皇帝平息暴乱，消灭贼，天地四方蒙受无限的恩泽，皇帝统一天下，运筹万物，考察情况，记载名称，纠正过错，宣扬大义，天下百姓接受风尚，人们服从国家法令，人人遵守统一的规定，人人保持太平的局面,1,0,1,0,1,0
秦始皇登之罘，秦始皇镌刻石碑,0,0,0,0,0,1
秦始皇说，我尊敬卢生等人，卢生等人诽谤我，卢生等人加重我的不仁,0,0,0,0,1,0
秦始皇肢解荆柯的尸体，秦始皇派王翦辛胜进攻燕国,1,0,0,0,1,0
数目作标准，驾车作标准,0,0,1,0,0,0
刻辞说：调遣军队，平息暴乱，恩惠润泽大地，牛马得到赏赐，皇帝兼并诸侯，皇帝统一全国。拆毁城郭，挖河堤，铲平险阻，障碍夷平。男的耕种他的土地，女的从事她的家庭手工业，各项生产蒙受皇帝的惠泽,1,0,1,0,1,0
秦国派将军王贲进攻齐国，秦国俘虏齐王建,1,0,0,0,0,0
秦始皇刻辞。,0,0,0,0,0,1
群臣受命决断事情在咸阳宫,0,0,0,0,0,1
秦始皇进行推演，秦始皇认为周朝得到了火德秦朝代替周朝的火德，秦朝是水德开端,0,1,0,0,0,0
秦始皇返回，秦始皇路过彭城，秦始皇打捞周鼎,0,0,0,0,0,1
百姓遭受严重的饥荒,0,0,1,0,0,0
秦始皇出外，始皇的小儿子胡亥要求跟着去，秦始皇答应胡亥,0,0,0,1,0,0
秦始皇说天下苦于无休止的战争是因为有诸侯王的缘故依靠宗庙之灵刚刚平定了天下再去建立诸侯国这是自我树敌而要求得安宁岂不是很困难的吗，建议是正确,0,0,1,0,0,0
秦国各王的陵庙和章台、上林苑在渭水南岸。秦国模仿诸侯国的宫殿,0,0,0,0,0,1
秦始皇命令连接宫殿，把地点说出去的人罪当处死,0,0,1,0,1,0
秦始皇返回秦国是从太原上郡回来的,0,0,0,0,0,1
男子登记年龄,1,0,1,0,0,0
秦始皇派御史审问儒生，触犯法禁的人活埋，调发徒隶戍守边境,0,0,1,0,1,0
秦始皇生于邯郸，秦始皇姓赵氏,0,0,0,1,0,0
丞相王绾、御史大夫冯劫、廷尉李斯说，陛下调遣义军，陛下讨贼，陛下平定天下，这是从上古以来所没有过的,1,0,1,0,0,0
晋人驱逐出境,0,0,1,0,0,0
秦始皇为秦王,0,0,0,0,0,1
桓攻打赵国的平阳，桓杀死赵国将领扈辄，桓斩首十万,1,0,0,0,0,0
隐官刑徒七十多万人营造阿房宫，修建工程,0,0,0,0,1,0
秦始皇摆酒,0,0,0,0,0,1
秦始皇前往碣石，秦始皇派燕地人卢生访求羡门,0,0,1,0,0,0
秦始皇派御史审问，秦始皇烧毁这块石头,0,1,0,0,0,0
秦始皇寻求神山，秦始皇寻找仙人,0,0,0,0,1,0
秦始皇出行咸阳，始皇有随从，秦始皇遇盗贼，杀死盗贼,1,0,0,0,0,0
臣属会议：讨伐敌人，俘获国王，开拓领土，统一天下，消除祸患，停止战争。皇帝治理国家，皇帝处理政务。创立法律制度，明确标准器用，有职之臣遵守本分，知道自己该做些什么，百姓发生变化，每人确定固定的职务，子孙后代继承这英明的政治，群臣颂美皇帝的恩德，群臣赞扬皇帝的伟大功业,1,0,1,0,0,0
秦始皇死,0,0,0,0,0,1
桓领兵攻克攻下邺邑橑杨,1,0,0,0,0,0
郡设守尉监，百姓改称黔首,0,0,1,0,0,0
刻辞说：秦始皇制定制度，使明确关系，秦始皇明白一切事物的道理，巡视地区，检阅士卒，皇帝的功勋在于辛勤地操劳国家的根本大事，重农，抑商，器物有一致的标准，他所作所为符合天下意志，整顿风俗，优恤百姓，郡守管理地方政务，没有不整齐划一，不论远处近处还是偏僻的地方做到严肃庄重正直忠厚办事有一定的规则，皇帝的德泽安定四方。讨伐暴乱，消除祸患，兴办好事，带来福祉。百姓不进行战争，没有盗贼，人人通晓法律制度，人人遵守教化，天上地下四面八方是皇帝的领土，西边到达流沙，南边到达流沙，东边有东海，北边越过大夏，没有不臣服。功勋超过五帝，人人得到皇帝的德泽,1,0,1,0,1,0
秦始皇临幸梁山宫，看见丞相随从车骑众多，秦始皇不以为然。丞相减少车骑，秦始皇生气，秦始皇说这是宫内的人泄漏了我的话。秦始皇下令逮捕杀掉身边人。,0,0,0,0,1,0
齐国人茅焦劝告秦始皇，秦始皇有放逐母太后的名声。秦始皇迎接太后，秦始皇回到咸阳，秦始皇让太后居住在甘泉宫,0,0,1,0,1,0
赵国背叛盟约，我抓获它的国王。我消灭赵国公子嘉，秦国吏卒摧毁魏国，我抓荆国国王，我平定荆地，我派吏卒俘虏齐国国王，六国国王服其罪。要改换名号，颂扬功业，流传后世,0,0,0,0,1,0
秦始皇开辟道路，秦始皇修建大道，秦始皇认为咸阳人口众多，秦始皇兴建朝宫。秦始皇建造阿房宫，殿堂可一万人坐，旗帜高五丈，阿房宫直达南山，修建标志作为门阙,0,0,0,0,1,0
成汤为方伯，成汤有权征讨诸侯。葛伯不祭祀鬼神，成汤征讨葛伯,1,0,0,0,0,0
成汤写帝诰一书，成汤报告迁都的情况,0,0,1,0,0,0
成汤修改历法，成汤改变服饰的颜色，成汤崇尚白色，成汤举行朝会,0,0,1,0,0,0
成汤说你们不能敬顺天命我就要重重地惩罚你们概不宽赦,0,0,1,0,0,0
野外有人四面张着罗网，张网的人说愿从天上来的从地下来的从四方来的都进入我的罗网。成汤说嗳这样就把禽兽全部捕尽了。诸侯听到这件事，说，仁德到极点，连禽兽受到他的恩惠,0,0,0,0,1,0
成汤进攻忠于夏桀的三㚇，成汤缴获他们的宝器珠玉,1,0,0,0,0,0
成汤推翻夏朝，成汤回到国都亳，成汤写《汤诰》,1,0,1,0,0,0
成汤说，人从水中可以看到自己的样子，从百姓精神面貌可以知道国家治理状况,0,0,1,0,0,0
成汤派人聘请伊尹，成汤任用伊尹管理国政,0,0,1,0,0,0
孝惠帝去世，吕太后不流眼泪,0,0,0,0,1,0
吕太后想罢免王陵，吕太后拜王陵为皇帝的太傅，剥夺王陵的丞相职权,0,0,1,0,0,0
吕太后立轵侯刘朝为常山王，设置太尉官职，以绛侯周勃为太尉,0,0,1,0,0,0
吕太后把吕产的女儿作为赵王的王后。王后的随侍官员是吕氏家族的人，用来监视赵王,0,0,1,0,0,0
吕太后封刘恢为赵王，立皇帝的儿子昌平侯刘太为吕王，把梁改名为吕，吕改名为济川。,0,0,1,0,0,0
吕太后是高祖微贱时的妻子，吕太后生了孝惠帝和女儿鲁元太后。,0,0,0,1,0,0
吕太后死，诏书赏赐黄金,0,0,1,0,0,0
吕太后害怕自己死后刘将军作乱，封刘将军为琅琊王,0,0,1,0,0,0
吕太后找机会想杀赵王。吕太后听说赵王一人在家，派人拿毒酒给赵王喝。,0,0,0,0,1,0
吕太后说，这是因为我的缘故吧,0,0,0,0,1,0
吕太后实行大赦,0,0,1,0,1,0
吕太后派遣使者,0,0,1,0,0,0
吕太后和高祖关系疏远,0,0,0,1,0,0
吕太后怕皇帝叛变，吕太后幽禁皇帝，说皇帝病得很厉害。吕太后杀害皇帝。,0,0,1,0,1,0
吕太后辅佐高祖，吕太后主诛杀大臣，吕太后是得力的。,0,0,1,0,0,0
吕太后追尊赵昭王,0,0,1,0,0,0
吕太后赐给张敖的谥号为鲁元王,0,0,1,0,0,0
吕太后立常山王刘义为皇帝。不改年号，因为吕太后专制天下大事。,0,0,1,0,0,0
吕太后立吕肃王的儿子东平侯吕通为燕王，封吕通的弟弟吕庄为东平侯,0,0,1,0,1,0
吕氏的权势开始崛起,0,0,1,0,0,0
吕太后说：凡是能统治天下万民的人，要像天一样覆盖一切，像地一样容纳万物，皇帝怀有欢爱的心情来抚慰百姓，百姓快乐地事奉皇帝，上下感情欣然交融，天下就能大治。,0,0,1,0,0,0
吕太后打算封吕氏子弟为侯，先封高祖的功臣郎中令冯无择为博城侯；吕太后封齐悼惠王的儿子刘章为朱虚侯；齐丞相齐寿为平定侯；吕平为扶柳侯；张买为南宫侯。,0,0,1,0,1,0
吕太后任用亲戚，杀死大臣，剪除子嗣，祸害百姓,0,0,0,0,1,0
吕太后封吕媭为临光侯，吕他为俞侯，吕更始为赘其侯，吕忿为吕城侯，诸侯丞相五人为侯,0,0,1,0,1,0
吕太后让人倒毒酒给齐王，孝惠帝拿过酒杯，吕太后倒掉孝惠帝杯子里的酒,0,0,0,0,1,0
吕太后告诫吕产、吕禄，说，高帝平定天下后，和大臣们约定，说是不是刘氏子弟而称王的，天下人一起消灭他。大臣们要发动叛乱，你们掌握军队，你们保卫朝廷，别给我送丧,0,0,1,0,0,0
吕太后代行皇帝的职权，吕太后打算封吕氏子弟为王,0,0,1,0,1,0
赵王刘友不喜欢吕氏的女儿，吕太后召赵王刘友来都城。赵王刘友来到都城，吕太后不接见赵王刘友，卫士围困赵王刘友。赵王刘友说：诸吕胁迫王侯，吕氏无理。赵王刘友被幽禁死亡。,0,0,0,0,1,0
吕太后派人杀死燕灵王刘建的儿子,0,0,1,0,1,0
孝文太后去世,0,0,0,0,0,1
在西北方出现彗星,0,0,0,0,0,1
孝景皇帝改诸侯王国的丞相为相,0,0,1,0,0,0
孝景皇帝封大将军窦婴为魏其侯，立楚元王的儿子平陆侯刘礼为楚王，立皇子刘端为胶西王，立皇子刘胜为中山王，封淮阳王刘余为鲁王，封汝南王刘非为江都王。,0,0,1,0,0,0
孝景皇帝允许欢聚宴饮,0,0,1,0,1,0
江都地区遭遇从西方刮来的大风暴，毁坏城墙,0,0,0,0,0,1
匈奴的两个王率领部众归降，孝景皇帝封他们为列侯,0,0,1,0,0,0
荧惑逼近北辰的位置，在北辰的中间出现月亮,0,1,0,0,0,0
孝景皇帝修建阳陵。孝景皇帝拨二十万招募百姓迁阳陵,0,0,1,0,0,0
孝景皇帝大赦天下，孝景皇帝赐予爵一级，孝景皇帝减免田租，孝景皇帝修建太宗庙,0,0,1,0,1,0
刘濞发动叛乱，孝景皇帝处死晁错，孝景皇帝派袁盎谕告七国。孝景皇帝派遣大将军窦婴、太尉周亚夫讨伐他们,1,0,1,0,0,0
孝景皇帝大赦天下，赐予爵位一级,0,0,1,0,1,0
广川王长沙王前往自己的封国,0,0,1,0,0,0
匈奴入侵上郡,1,0,0,0,0,0
孝景皇帝封原来的相国萧何的孙子萧系为武陵侯,0,0,1,0,0,0
孝景皇帝赦免囚犯,0,0,1,0,1,0
孝景皇帝立胶东王为皇太子,0,0,1,0,0,0
郅将军出击匈奴,1,0,0,0,0,0
孝景皇帝去世，遗诏赐予爵位一级，让宫女回到自己家里，免除宫女终身的赋税和徭役,0,0,0,0,1,0
孝景皇帝建造德阳宫,0,0,0,0,1,0
孝景皇帝召临江王问罪,0,0,1,0,0,0
孝景皇帝任命御史大夫桃侯刘舍为丞相,0,0,1,0,0,0
孝景皇帝废除官职,0,0,1,0,0,0
皇太子刘彻举行冠礼,0,0,0,0,0,1
孝景皇帝大赦天下,0,0,1,0,1,0
孝景皇帝改中大夫令为卫尉,0,0,1,0,0,0
孝景皇帝改广川王为赵王,0,0,1,0,0,0
衡山下冰雹，最大的直径有一尺八寸,0,0,0,0,0,1
发生地震,0,0,0,0,0,1
孝景皇帝封十人为侯,0,0,1,0,0,0
孝景皇帝立皇子刘方为清河王,0,0,1,0,0,0
发生地震,0,0,0,0,0,1
孝景皇帝立皇子刘舜为常山王,0,0,1,0,0,0
孝景皇帝赦免奴隶,0,0,1,0,1,0
发生旱灾，百姓流行瘟疫,0,0,0,0,0,1
孝景皇帝大赦天下，赐予百姓爵位一级,0,0,1,0,1,0
皇帝来到雍县郊祭五帝,0,0,1,0,0,0
丞相刘舍免除职务,0,0,1,0,0,0
孝景皇帝封原来的御史大夫周苛的孙子周平为绳侯，封原来的御史大夫周昌的孙子周左车为安阳侯,0,0,1,0,0,0
孝景皇帝用树木填兰池,0,0,0,0,0,1
孝景皇帝的母亲是窦太后,0,0,0,1,0,0
九月的最后一天出现日食,0,0,0,0,0,1
孝景皇帝大赦天下,0,0,1,0,1,0
前任王后生三个男孩，三个男孩死亡，孝敬皇帝嗣位,0,0,0,1,0,0
孝景皇帝改赵国为邯郸郡,0,0,1,0,0,0
禁止天下百姓吃当年收获的粮食，在京城的列侯前往自己的封地，减少列侯数量,0,0,1,0,0,0
出现日食,0,0,0,0,0,1
孝景皇帝立皇太子，孝景皇帝封皇子刘彻为胶东王,0,0,1,0,0,0
全国发生涝灾,0,0,0,0,0,1
孝景皇帝大赦天下，赐予百姓爵位一级，中二千石的官员和诸侯国的相赐爵,0,0,1,0,1,0
孝景皇帝设置南陵和内史祋祤为县,0,0,1,0,0,0
发生地震,0,0,0,0,0,1
夏禹树立标识，夏禹测定高山大川的状貌，夏禹不顾劳累,0,0,0,0,1,0
夏禹治理太原，夏禹治理覃怀，,0,0,1,0,0,0
夏禹疏导淮水,0,0,1,0,0,0
夏禹行拜礼,0,0,0,0,1,0
天下安定,0,0,1,0,0,0
夏禹名叫文命,0,0,0,1,0,0
夏禹继承天子之位,0,0,1,0,0,0
夏禹分封诸侯，赐给土地,0,0,1,0,0,0
夏禹说如果按你的话行事一定会做出成绩的,0,0,1,0,0,0
帝舜任命夏禹，夏禹谦让契后稷皋陶,0,0,0,0,1,0
天子的声威教化达到四方荒远的边陲,0,0,1,0,0,0
夏禹的钱财用于水利工程,0,0,0,0,1,0
禹说洪水滔天浩浩荡荡环绕着高山淹没了丘陵百姓深受水害我在陆地上行走乘车在水中行走乘船在泥沼中行走乘木橇在山路上行走就穿上带铁齿的鞋翻山越岭树立木桩在山上作了标志，我给稻粮和新鲜的肉食，我疏导河道，我引入河道，我和稷赈济吃粮都困难的百姓,0,0,0,0,1,0
夏禹的父亲是鲧，鲧的父亲是帝颛顼，颛顼的父亲是昌意，昌意的父亲是黄帝,0,0,0,1,0,0
夏禹疏导长江,0,0,1,0,0,0
夏禹是黄帝的玄孙颛顼帝的孙子，夏禹的曾祖父昌意和父亲鲧没有登临帝位，夏禹的曾祖父昌意和父亲鲧做大臣,0,0,0,1,0,0
舜帝推荐夏禹作为帝位的继承人,0,0,1,0,0,0
夏禹说我整天考虑的是勤恳努力的工作,0,0,0,0,1,0
夏禹疏导渭水,0,0,1,0,0,0
舜帝说用我的德教来开导那么凭你的工作就会使他们归顺的,0,0,1,0,0,0
夏禹敬奉鬼神,0,1,0,0,0,0
夏禹疏导沇水,0,0,1,0,0,0
夏禹疏导九条大河,0,0,1,0,0,0
夏禹举用益，夏禹授给国政,0,0,1,0,0,0
夏禹疏导漾水,0,0,1,0,0,0
夏禹勤奋而严肃，夏禹是百官的典范,0,0,1,0,1,0
天下尊奉夏禹为山川众神之主,0,1,1,0,0,0
夏禹巡视物产，夏禹定其贡赋，夏禹视察交通情况,0,0,1,0,0,0
夏禹崇敬德业,0,0,1,0,1,0
禹说我娶涂山氏的女儿时只经四天婚期就又去治水了我的孩子启从生下来我未曾抚育过所以才能使平治水土的工作取得成功,0,0,1,0,1,0
幽王得到褒姒，幽王宠爱褒姒，幽王打算废黜申后并把太子宜臼也一块儿废掉,0,0,0,0,1,0
太史伯阳说灾祸己形成没有任何办法了,0,1,0,0,0,0
幽王到后宫，褒姒当王后，伯服做太子,0,0,0,1,1,0
幽王任用虢石父为卿士，卿士主持国政。虢石父喜欢阿谀奉承和贪图财利，幽王重用虢石父,0,0,1,0,1,0
二世发布诏令，增加始皇陵庙的祭牲以及对山川等各种祭祀的礼数，二世让群臣讨论怎样尊崇始皇庙,0,0,0,0,1,0
二世和赵高说我年龄小即位不久百姓还没有全部归附，安然不动不去巡游是没有办法统治天下的。二世巡行郡县,0,0,1,0,0,0
二世说先帝后宫的姬妾没有儿子的放出宫去不太合适，二世让殉葬,0,0,0,0,1,0
二世震惊，二世说怎么办,0,0,1,0,0,0
二世梦见白色的老虎咬他驾车的左边的那匹马，二世占梦，二世斋戒，二世打算祭祀泾水的水神沉入水中四匹白马,0,1,0,0,0,0
种植革木,0,0,1,0,0,0
阎乐上前来到二世面前，阎乐上前列举二世的罪状，阎乐上前说你骄横纵恣屠杀吏民无道已极天下百姓一起背叛了你你自己作打算吧，你屠杀吏民，天下百姓背叛你,0,0,0,0,1,0
二世指责赵高,0,0,0,0,0,1
二世住在宫中，和赵高决断各种政务，公卿大臣少有朝见的机会,0,0,1,0,0,0
二世说我可以见见丞相吗，二世说我希望得到一个郡去做一郡之王，二世希望得到一个郡去做一郡之王，二世愿做万户侯，二世说希望和妻子儿女成为平民百姓和那些公子们一样。阎乐说我受命于丞相替天下百姓处死你。二世自杀,0,0,0,0,1,0
二世斥责章邯,0,0,0,0,0,1
二世说可以,0,0,0,0,0,1
赵高说武力决定一切，二世说很好。二世杀戮大臣和那些公子们，二世逮捕地位较低的近侍之臣和三署郎官，二世假借互相株连，二世派使者说你不像大臣的样子按所犯罪行应当处死由狱吏执法,0,0,0,0,1,0
谒者报告叛乱的事情，二世把谒者交给了狱吏治罪，二世问情况，以后的使者说是一群盗贼郡守郡尉正在追捕现在全部抓获了不值得担忧,0,0,1,0,0,0
右丞相冯去疾左丞相李斯将军冯劫希望停止阿房宫的兴建，二世说我听韩子说尧舜的栎木屋椽不加整治茅草屋不加修葺吃饭用土碗喝水用瓦盆即使是供给看守城门的吃食和用品也不俭薄到这种程度，凡是尊贵而掌握了天下的人随心所欲，凡是尊贵而掌握了天下的人为所欲为，凡是尊贵而掌握了天下的人着重宣明法治，我制造一千乘车驾，我设置一万乘的随从徒众，我符合万乘之君这一名号，你们不给尽忠竭力，冯去疾李斯冯劫交给囚禁审查罪行，冯去疾李斯冯劫自杀，李斯受刑,0,0,1,0,1,0
二世说这些金石刻辞都是始皇帝镌刻的，我继承皇帝的称号,0,0,0,0,0,1
西伯的僚臣闳夭等人找美女珍宝和好马，纣赦免西伯,0,0,0,0,1,0
纣任费仲管理国家政事,0,0,1,0,0,0
纣嗜好喝酒，纣宠爱女人,0,0,0,0,1,0
纣宠爱妲己，纣让乐师涓创作新的放荡的乐曲，北里舞曲，淫靡的歌,0,0,0,0,1,0
诸侯背叛纣，诸侯们说可以讨伐纣了,0,0,1,0,0,0
纣王丧失权势,0,0,1,0,0,0
纣淫乱无止境,0,0,0,0,1,0
比干进谏言劝说纣，纣不肯听,0,0,1,0,0,0
纣登鹿台，纣穿他的宝玉衣，纣自焚,0,0,0,0,0,1
纣说，我生下来不就是有天命护佑吗,0,0,0,0,1,0
纣无礼,0,0,0,0,1,0
纣杀九侯的女儿，因为九侯的女儿不喜淫荡作乐,0,0,0,0,1,0
纣答应西伯，纣让西伯征伐其他诸侯，西伯成西部地区的诸侯之长,0,0,1,0,0,0
商容是有才德的人，纣废黜商容,0,0,1,0,1,0
纣搜集狗马和新奇的玩物，纣扩建沙丘的园林楼台，纣捕捉野兽飞鸟,0,0,0,0,1,0
帝启临帝位，有扈氏不归从，开始战斗，帝启作誓辞，帝启召集六军进行训诫,1,0,0,0,0,0
帝启消灭有扈氏，天下来朝拜,1,0,1,0,0,0
帝启说，谁听从命令，我奖赏他。谁不听从命令，我杀他，我要把他们的妻子儿女一起杀掉,1,0,0,0,0,0
武王说上天将赐福给大家，武王拜谢还礼,0,1,0,0,1,0
武王遵循遗业,0,0,1,0,1,0
武王巡视各个诸侯国，武王记录政事，写《武成》篇，武王宣告武灭殷的功业成就,1,0,1,0,0,0
一个火团落在武王的屋顶上，一个火团发出魄魄的鸣声,0,1,0,0,0,0
武王来到商郊牧野，武王举行誓师,1,0,0,0,0,0
武王祭祀文王，武王前往东方举行阅兵，武王到达盟津,1,0,0,0,0,0
武王放出狱，表彰百姓,0,0,1,0,1,0
武王出城，武王回到军中,1,0,0,0,0,0
武王自称太子发，武王表示是以文王的名义征伐不敢独断专行,0,0,0,0,1,0
武王询问殷朝灭亡的原因,0,0,1,0,0,0
武王封尚父，武王封同公旦，其他人受封,0,0,1,0,0,0
武王宣告，要小心谨慎，说到做到。我是无知之人，先祖有德行。我承受先人的功业，制定制度，确保完成功业,0,0,1,0,1,0
武王追思古代的圣王,0,0,0,0,1,0
武王进城，左右的大臣们跟着武王,0,0,1,0,0,0
武王命令宗祝祭祀将士,0,0,0,0,1,0
武王作《太誓》，武王宣告现在殷王纣竟然听信妻妾之言，自绝于上天，违背日月北斗的运行，疏远自己的同祖兄弟，竟然废弃其先祖的音乐，敢采用淫乱的音乐去窜改典雅的音乐以取悦于他的妻妾。我执行上天的惩罚,1,0,1,0,0,0
武王命人清理道路，武王修整社庙和商纣的宫室,0,0,1,0,0,0
武王来到商的都城，城中的百姓等待欢迎,0,0,1,0,1,0
武王找到纣自焚的地方，武王发箭射纣的尸体，武王砍纣的头，武王砍宠妾的头,1,0,0,0,0,0
武王说，殷王罪恶深重，不可不合力讨伐。,1,0,1,0,0,0
武王派师尚父率领百名勇士，武王率领拥有战车三百五十辆士卒两万六千二百五十人勇士三千人的大部队,1,0,0,0,0,0
武王命令南宫括散发聚集在鹿台的钱财和巨桥的粮食，赈济野人和贱民,0,0,0,0,1,0
帝尧说唉，你们谁顺应天命，你们谁接替我的帝位。四岳说我们的德行鄙陋得很不配登上帝位，帝尧说那就从所有同姓异姓远近大臣及隐居者当中推举吧。大家说有一个单身汉流寓在民间叫虞舜，帝尧说对我听说过他这个人怎么样，四岳说他是个盲人的儿子，帝尧说那我就试试他吧,0,0,1,0,0,0
帝尧让舜参与百官的事，百官的事变有条不紊,0,0,1,0,0,0
尧帝戴的是黄色的帽子，穿的是黑色衣裳，朱红色的车子驾白马,0,0,0,0,0,1
尧帝尊敬有善德的人，尧帝使同族九代相亲相爱,0,0,0,0,1,0
帝尧告退，帝尧让舜行天子政务,0,0,0,0,0,1
帝尧派舜进入山野丛林大川草泽，帝尧认为舜十分聪明很有道德，帝尧说三年来你做事周密说了的话就能做到现在你就登临天子位吧，舜推让，舜说德行不够,0,0,1,0,0,0
帝尧让出帝位,0,0,0,0,0,1
舜接受尧的禅让,0,0,0,0,0,1
帝尧号为陶唐,0,0,0,0,0,1
舜代理天子之政事，帝尧观察舜做天子是否合天意,0,0,1,0,0,0
帝尧命令安排农活,0,0,1,0,0,0
帝尧说谁可以继承我的这个事业，放齐说你的儿子丹朱通达事理。帝尧说哼丹朱么他这个人愚顽凶恶不能用。帝尧问道那么还有谁可以。驩兜说共工广泛地聚集民众做出了业绩可以用，帝尧说共工好讲漂亮话用心不正讲话的时候看似非常恭敬其实心不在焉不能用。,0,0,1,0,1,0
帝尧认为这样做很好，就让舜试任司徒之职，谨慎地理顺父义母慈兄友弟恭子孝这五种伦理道德，人民都遵从不违,0,0,1,0,0,0
文祖是尧的太祖,0,0,0,1,0,0
民众劳作，鸟兽生育,0,0,1,0,0,0
黄帝修行德业，,0,0,0,0,1,0
黄帝顺应天地四时的规律，推测阴阳的变化，,0,1,0,0,0,0
黄帝迁徙，黄帝没有住处，黄帝设置军营,1,0,1,0,0,0
黄帝有土这种属性的祥瑞征兆，黄帝做天子号称黄帝,0,1,0,0,0,0
黄帝任用风后、力牧、常先、大鸿等治理民众,0,0,1,0,0,0
黄帝征讨那些不来朝贡的诸侯，各诸侯来归从,1,0,0,0,0,0
黄帝到空桐，黄帝登鸡头山,0,0,0,0,0,1
